epoch loss mse ssim_score val_loss val_mse val_ssim_score
0 0.1605570912361145 0.0023969062604010105 0.8394505977630615 0.10125617682933807 0.0009430936188437045 0.8987855911254883
1 0.13936205208301544 0.001665435149334371 0.8606423139572144 0.11337429285049438 0.0008948303293436766 0.8866322040557861
2 0.1376487761735916 0.0016289239283651114 0.8623573780059814 0.10369011014699936 0.0009052828536368906 0.8963462114334106
3 0.1363377720117569 0.001604634104296565 0.8636666536331177 0.0960332378745079 0.0009576524025760591 0.9040104150772095
4 0.13181337714195251 0.0015574729768559337 0.8681836128234863 0.08884415775537491 0.0007855461444705725 0.9111988544464111
5 0.13246497511863708 0.0015690283617004752 0.8675345182418823 0.09644830971956253 0.000827101874165237 0.9035903215408325
6 0.129407599568367 0.0015046840999275446 0.8705977201461792 0.15270482003688812 0.0008836130728013813 0.8473252058029175
7 0.12542502582073212 0.001422920380719006 0.8745704293251038 0.19644758105278015 0.0011705270735546947 0.8034605979919434
8 0.12820622324943542 0.001452751806937158 0.8717877268791199 0.10495008528232574 0.0007787507493048906 0.8950421214103699
9 0.12228799611330032 0.001360137015581131 0.8777053356170654 0.21491321921348572 0.0009348989115096629 0.7850704789161682
10 0.12052100896835327 0.0013237401144579053 0.8794858455657959 0.10442910343408585 0.0008546863100491464 0.8955516219139099
11 0.11836804449558258 0.0012910105288028717 0.881618857383728 0.08312030136585236 0.0007053545559756458 0.9169201850891113
12 0.11687728017568588 0.0012626502430066466 0.8831207752227783 0.08028282970190048 0.0007332654786296189 0.9197654724121094
13 0.11567214876413345 0.0012466821353882551 0.8843303322792053 0.08383243530988693 0.0007318410207517445 0.9162130355834961
14 0.11343580484390259 0.0011973894434049726 0.8865593671798706 0.09129450470209122 0.0007763190078549087 0.9087516069412231
15 0.11214054375886917 0.001183401676826179 0.8878592252731323 0.18502521514892578 0.0009473971440456808 0.814953625202179
16 0.11088941246271133 0.0011641014134511352 0.8891074061393738 0.0799817368388176 0.0007535553304478526 0.9200607538223267
17 0.1093183159828186 0.0011344295926392078 0.890680193901062 0.11099780350923538 0.0007383243646472692 0.8889704942703247
18 0.10794612020254135 0.0011081111151725054 0.8920444250106812 0.07725047320127487 0.0007533124298788607 0.9227972626686096
19 0.10659140348434448 0.001087958924472332 0.893395185470581 0.07463103532791138 0.0006315349019132555 0.9254099130630493
20 0.10544081777334213 0.0010664608562365174 0.8945575952529907 0.07677245885133743 0.0006364129949361086 0.9232735633850098
21 0.10424187034368515 0.0010454265866428614 0.8957571983337402 0.07395311444997787 0.0006244780379347503 0.9260920882225037
22 0.10317739844322205 0.001030148472636938 0.8968208432197571 0.07560618221759796 0.0006729565793648362 0.9244431853294373
23 0.10200828313827515 0.0010088798590004444 0.8979907035827637 0.07383228838443756 0.0006220196955837309 0.9261976480484009
24 0.10097368061542511 0.0009894812246784568 0.899025022983551 0.07247068732976913 0.0005997416446916759 0.9275748133659363
25 0.10008761286735535 0.0009755367645993829 0.8999056816101074 0.07231657207012177 0.0006475617992691696 0.9277275204658508
26 0.0992080420255661 0.0009639458730816841 0.9007871150970459 0.08657551556825638 0.0007392993429675698 0.9134653210639954
27 0.09827311336994171 0.0009450871148146689 0.9017263650894165 0.07060296833515167 0.000614519405644387 0.9294385313987732
28 0.09755814075469971 0.0009315638453699648 0.9024336338043213 0.069639652967453 0.00058250647271052 0.930398166179657
29 0.09680904448032379 0.0009177030296996236 0.9031956195831299 0.0700104683637619 0.0005825532134622335 0.9300245046615601
30 0.09633710235357285 0.0009146648808382452 0.9036524295806885 0.0690857395529747 0.0005639797309413552 0.9309520125389099
31 0.09578180313110352 0.000904951011762023 0.9042195677757263 0.06997991353273392 0.0005751117132604122 0.9300588369369507
32 0.09525279700756073 0.0008975474629551172 0.9047488570213318 0.0683954581618309 0.0005479839164763689 0.9316411018371582
33 0.09476906061172485 0.0008884315611794591 0.9052274227142334 0.06825201213359833 0.0005563123268075287 0.9317846298217773
